class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,habitat
e,f,y,e,f,l,d,d,b,u,p
e,c,f,b,f,y,f,w,b,w,m
p,b,g,g,t,c,a,c,b,r,m
p,f,g,c,f,y,n,d,n,e,l
e,b,y,w,t,y,n,c,b,u,p
p,f,y,b,f,f,n,w,n,e,d
p,s,y,c,t,y,d,c,b,o,m
p,k,f,u,t,p,d,w,n,g,p
e,k,g,g,f,a,a,w,b,y,p
p,k,f,p,f,p,n,d,n,u,m
e,s,g,c,t,l,n,w,n,u,p
p,c,y,n,f,f,n,d,n,n,m
p,f,f,p,t,n,d,w,b,p,d
e,c,s,g,f,n,a,d,b,p,d
p,f,f,b,f,m,f,c,n,n,u
e,b,f,u,t,n,d,w,b,e,m
p,k,s,y,f,p,n,c,n,o,p
e,k,s,r,f,n,a,w,n,k,u
p,f,y,p,f,s,a,w,n,g,d
e,c,s,p,f,n,f,w,n,g,p
e,c,s,w,t,n,n,d,b,e,p
e,x,f,b,t,n,d,d,b,g,u
e,k,f,p,t,a,d,c,n,n,w
e,k,y,w,t,p,d,c,n,b,l
p,c,s,g,f,f,n,w,n,r,u
e,k,g,p,t,a,n,c,b,k,d
e,c,f,u,t,l,n,w,n,y,w
e,x,y,n,t,n,d,w,b,r,w
p,f,f,r,f,y,n,w,n,r,p
p,f,f,g,f,f,n,d,b,o,p
p,x,g,y,t,y,n,c,n,u,d
p,k,y,b,f,f,f,d,n,u,l
e,b,g,b,f,n,f,w,b,h,u
e,k,g,b,t,n,n,w,b,n,m
e,c,y,u,t,l,n,d,n,g,p
p,s,s,g,t,c,d,c,n,k,u
p,b,g,p,f,s,a,d,n,y,g
e,x,s,u,t,a,n,d,n,y,p
e,f,f,w,f,n,d,c,n,g,m
e,f,y,b,f,n,d,w,b,y,p
e,k,y,y,t,n,a,c,n,e,w
p,f,f,w,f,p,d,c,b,b,u
e,k,f,r,f,y,a,d,b,o,l
p,c,f,p,t,y,n,w,b,o,g
e,c,g,p,f,n,f,w,b,b,m
p,x,g,c,f,s,a,w,n,g,d
p,s,g,y,f,c,n,d,n,u,p
p,c,g,u,f,y,n,d,n,h,m
p,k,g,u,f,y,f,c,b,n,l
p,f,s,e,f,c,d,c,n,b,g
p,c,s,r,t,f,a,d,b,w,m
p,c,g,b,t,p,a,c,n,k,u
p,k,y,c,t,c,d,d,n,g,u
p,c,y,w,t,m,f,c,n,u,m
p,f,s,p,f,f,a,w,n,n,g
p,s,s,e,t,y,a,d,b,b,p
p,f,y,e,t,y,d,c,b,b,u
e,s,y,r,t,a,n,d,n,o,p
e,f,y,n,t,a,f,d,n,y,p
e,f,s,p,t,s,n,c,b,e,m
e,b,s,u,t,a,n,c,b,o,u
p,f,y,w,t,p,d,d,b,w,m
e,b,s,b,t,n,a,d,b,k,l
p,f,g,b,t,f,d,c,b,b,p
p,f,y,y,t,y,n,w,b,k,g
e,k,f,n,t,n,d,w,n,u,d
p,s,y,r,f,c,f,w,b,o,w
p,f,s,b,t,p,n,d,b,g,p
e,c,f,c,f,n,n,w,b,o,g
p,f,f,b,t,p,f,d,n,b,m
p,x,y,g,t,f,d,c,n,b,u
e,k,g,c,f,n,d,w,n,k,p
e,k,g,w,f,f,d,c,n,g,l
p,f,s,y,f,m,a,w,b,o,p
e,x,f,b,f,n,n,w,b,b,g
e,s,g,u,f,l,f,c,b,g,d
e,f,s,c,f,n,n,c,b,e,g
p,c,f,y,f,y,a,d,n,k,g
p,k,s,e,t,s,n,c,n,o,u
p,k,g,g,f,y,f,d,b,w,l
e,s,s,g,f,n,f,d,n,p,l
p,x,s,w,f,f,n,c,n,p,g
e,b,g,c,f,n,a,w,b,k,l
e,s,g,u,t,n,n,w,n,h,l
e,x,s,n,f,n,a,w,b,u,m
e,c,g,u,f,n,d,c,n,n,w
p,x,y,y,f,s,f,w,b,k,l
p,s,y,b,f,y,n,d,b,r,w
e,b,y,p,f,n,f,c,b,w,g
p,c,f,w,t,f,f,d,b,w,u
p,c,y,p,t,c,n,w,b,k,w
p,b,y,c,t,f,d,w,n,r,m
e,f,y,n,f,f,f,w,b,k,l
p,x,g,g,f,y,f,d,b,r,m
e,s,g,g,t,y,a,w,n,u,p
p,c,g,e,t,y,a,d,n,g,m
e,s,g,y,t,n,d,c,n,h,w
p,x,g,y,t,p,n,c,n,p,d
e,b,y,u,t,a,f,c,b,h,m
e,k,y,y,t,a,d,w,b,h,m
p,b,g,u,t,y,n,d,n,w,l
p,x,s,u,t,f,a,w,n,u,m
p,c,g,b,t,p,f,c,n,k,w
p,x,y,w,t,m,f,c,b,y,u
e,k,y,p,t,p,n,w,b,b,l
e,c,g,b,f,a,d,w,n,w,g
e,k,f,n,t,n,f,w,n,h,p
e,f,s,n,f,n,f,d,b,p,g
p,s,g,n,f,c,a,w,b,k,l
p,b,y,g,f,c,d,c,n,b,g
p,f,s,g,f,m,a,c,b,n,p
p,x,f,w,f,p,n,d,n,r,w
p,f,s,n,t,c,n,w,n,y,w
e,b,g,c,f,l,d,d,n,u,m
e,c,y,c,t,a,a,w,b,e,g
p,s,y,e,t,s,n,c,b,u,w
e,k,y,b,t,n,d,w,b,e,l
e,c,s,p,t,a,n,w,n,g,u
e,s,g,g,f,p,f,c,n,b,p
p,f,g,y,f,f,f,c,n,p,g
e,x,s,p,f,l,d,c,n,u,u
p,f,s,r,t,y,n,w,n,u,p
p,b,f,w,f,c,d,d,n,w,g
e,b,y,w,t,a,d,w,n,k,l
p,x,s,n,f,m,d,d,n,y,u
p,s,y,c,t,s,f,w,b,e,w
p,c,f,n,t,y,d,w,n,g,u
p,b,g,p,f,f,f,w,n,e,d
e,b,y,c,f,l,f,w,n,y,g
p,x,s,n,t,y,n,d,b,u,g
e,c,s,p,f,a,d,w,b,w,l
p,f,f,r,t,f,n,c,n,b,l
p,k,y,e,f,c,f,c,b,o,d
p,x,g,b,t,y,d,w,n,u,m
e,c,g,e,t,y,f,d,b,n,g
e,k,s,r,t,l,d,c,b,n,l
e,x,f,e,f,n,d,c,n,g,g
e,f,s,y,t,a,a,c,b,p,l
e,f,s,g,t,y,n,w,n,e,p
e,c,s,g,t,l,a,c,n,g,l
e,c,s,y,f,n,d,d,b,p,l
p,f,f,g,f,n,a,d,b,h,p
e,f,s,p,t,n,f,d,n,u,p
p,x,y,g,f,y,d,c,n,h,w
p,s,s,w,t,s,d,c,n,g,m
p,s,s,w,t,f,d,d,n,y,l
p,c,g,c,f,p,a,c,b,y,p
e,k,g,u,t,l,n,d,b,y,m
p,f,f,r,t,p,n,w,n,o,m
e,k,f,w,f,n,n,w,n,u,g
e,c,y,b,t,a,a,w,n,g,p
p,c,s,c,t,p,f,c,n,o,u
e,b,g,y,f,a,a,w,n,h,p
p,f,y,r,t,c,n,w,n,n,d
e,s,y,r,t,n,a,d,n,n,d
e,s,f,y,t,l,f,d,b,g,p
e,c,g,u,t,l,d,d,b,n,m
e,c,s,e,f,l,d,w,n,n,w
e,f,f,e,t,a,n,d,b,n,p
e,b,y,n,t,n,n,w,n,h,p
e,b,y,n,f,n,f,c,b,p,w
p,b,g,c,f,s,a,w,n,o,m
e,b,g,n,t,n,f,d,n,g,m
p,x,s,n,f,y,f,d,n,o,d
e,f,g,y,f,a,d,d,b,r,g
p,f,g,e,t,c,a,d,b,p,g
e,f,f,n,t,n,d,c,b,p,p
e,s,f,w,f,p,d,c,n,o,p
e,b,s,b,f,n,f,w,b,g,w
e,b,f,w,t,a,d,d,n,r,l
p,s,s,u,t,p,n,c,n,w,u
e,s,f,w,f,n,n,c,n,w,l
p,c,y,c,f,m,d,c,b,e,l
e,x,f,n,t,n,d,d,b,p,p
e,s,s,n,f,n,a,c,b,o,m
p,f,f,y,f,s,n,d,b,g,m
e,x,g,p,f,a,a,c,b,e,u
p,s,y,u,t,n,d,c,b,p,m
e,f,f,w,f,n,n,d,n,h,p
p,b,y,p,f,y,f,d,n,r,w
e,b,y,r,t,n,f,d,b,h,m
p,f,y,b,f,s,d,c,n,y,w
p,k,y,b,t,p,a,w,n,g,g
e,b,g,e,t,p,f,w,n,e,d
e,c,g,n,t,l,f,d,b,b,u
e,s,s,e,t,y,n,d,b,n,d
p,b,s,y,f,n,a,w,b,w,m
e,c,s,u,t,n,a,w,n,k,m
e,x,s,u,f,n,f,d,b,b,g
e,b,y,r,t,n,d,d,n,w,d
e,s,y,c,f,n,f,d,b,k,l
p,b,y,u,t,p,a,w,n,r,p
p,s,g,u,f,f,n,w,b,w,m
e,x,g,u,t,n,a,w,n,n,d
p,s,y,b,t,y,n,d,n,b,w
p,c,y,c,t,f,n,c,n,p,g
e,k,y,c,t,n,n,w,b,g,g
e,s,y,g,t,n,a,c,b,y,l
p,s,g,w,f,y,a,c,n,n,d
p,c,f,y,t,f,d,w,b,n,w
p,f,s,n,t,c,f,w,b,b,w
e,f,s,u,f,n,a,w,b,b,m
e,f,f,u,f,f,n,d,b,p,l
e,s,g,g,t,a,a,c,n,g,u
p,x,g,n,t,p,a,c,n,p,g
p,c,f,c,t,p,f,c,n,h,p
p,s,s,r,f,y,a,c,n,u,g
e,b,s,b,f,n,n,d,n,b,l
e,s,f,u,t,l,f,w,n,n,p
e,f,f,y,t,y,d,w,n,r,d
e,c,y,y,t,p,n,d,b,w,p
e,b,f,u,f,a,n,w,n,h,g
e,c,f,y,t,n,a,c,n,n,p
e,x,s,r,t,n,d,d,n,r,d
p,f,y,y,t,s,f,d,b,h,m
p,k,y,p,t,c,d,c,b,e,g
e,s,s,n,t,n,a,d,n,w,l
e,f,s,g,t,y,d,c,n,h,u
e,f,g,g,t,n,n,d,b,e,l
p,x,y,e,f,p,n,w,b,h,m
p,b,f,b,f,n,d,c,n,h,u
p,f,y,n,f,m,d,w,n,p,u
p,b,g,u,f,s,n,d,n,k,w
e,b,f,p,f,n,d,d,n,u,l
e,x,g,r,t,n,n,d,n,b,d
e,f,s,e,f,n,d,d,n,g,g
e,s,g,b,t,l,f,d,n,g,g
p,x,s,b,f,p,f,w,b,h,u
e,x,g,w,t,a,a,c,n,h,l
e,k,s,n,f,n,n,d,b,o,l
e,s,y,p,f,n,f,d,b,h,g
p,x,s,c,t,p,n,d,b,e,w
e,k,y,r,f,y,f,w,n,b,m
p,b,s,e,t,f,a,d,b,w,g
e,s,g,u,t,l,n,d,b,u,g
e,s,g,g,f,n,f,d,n,h,m
e,b,g,e,f,l,n,c,n,h,g
p,c,s,y,f,m,a,c,n,e,u
e,s,s,b,t,n,a,d,n,y,u
p,c,g,u,f,f,f,c,n,p,u
e,b,y,r,t,n,d,d,n,y,w
e,f,s,p,f,n,a,d,n,w,d
p,c,y,c,f,s,d,c,n,o,u
e,x,s,y,t,n,a,c,n,h,w
p,s,g,u,f,f,f,d,n,p,u
p,c,y,u,f,s,d,c,b,e,l
e,s,f,b,t,a,n,c,n,n,l
p,b,s,n,f,y,a,c,b,u,m
e,f,y,y,t,a,f,w,b,n,w
e,b,g,b,f,l,n,w,n,e,p
e,f,y,e,f,n,d,w,n,b,u
p,s,f,y,f,p,f,w,n,r,p
e,c,f,c,f,l,n,w,n,o,d
p,x,y,g,t,y,f,d,b,u,p
p,x,f,e,t,s,d,c,n,p,d
p,b,s,c,f,c,n,w,b,w,u
p,s,f,p,t,c,a,c,b,r,g
e,f,y,b,f,a,a,d,n,p,m
e,c,y,c,t,l,f,c,n,w,w
e,f,s,n,f,l,a,c,b,w,d
p,f,s,w,t,s,d,d,n,g,d
p,f,y,g,t,p,d,d,n,e,p
p,s,g,p,t,f,n,c,n,e,g
p,c,s,u,t,y,n,c,n,y,g
p,s,g,b,f,f,n,d,n,y,u
e,f,f,e,t,n,f,w,n,u,m
p,s,f,w,t,p,f,w,n,h,d
p,x,s,y,t,n,d,w,b,k,u
e,b,s,b,t,p,d,w,n,p,m
p,k,y,r,t,s,f,c,b,g,u
e,f,f,b,t,s,n,w,b,u,m
p,x,s,r,t,n,f,w,n,b,l
p,s,y,u,f,c,n,d,n,u,g
p,x,g,p,f,f,d,d,n,p,w
e,b,y,g,f,n,n,d,b,r,g
p,b,f,b,t,p,f,d,b,w,g
p,k,y,u,t,f,a,c,n,e,m
e,k,y,y,f,l,d,c,n,e,g
p,k,s,w,f,f,d,c,n,w,l
p,c,y,n,f,y,f,w,n,p,l
p,c,f,c,t,f,f,w,b,p,d
e,x,y,u,f,a,d,c,b,o,p
e,s,y,w,f,a,f,w,b,o,g
p,b,f,r,t,s,n,w,b,b,u
e,f,g,u,f,n,n,w,b,o,d
e,b,g,y,f,a,n,w,n,y,u
p,c,f,u,t,s,a,w,b,b,u
e,x,g,g,t,l,f,d,n,w,w
p,f,y,r,f,y,n,c,b,u,l
e,k,s,b,f,n,d,c,b,w,p
e,k,f,e,f,n,n,w,n,g,w
e,c,y,n,f,l,n,w,b,w,p
e,x,s,b,t,n,f,d,n,p,l
p,s,y,c,t,f,d,c,n,y,p
p,b,f,u,t,f,a,d,n,b,u
e,c,y,p,t,l,d,d,n,b,u
e,s,f,u,t,a,n,c,b,b,l
e,s,y,r,t,a,a,d,b,p,u
e,b,s,g,f,a,a,d,n,u,m
e,f,s,u,f,n,a,c,n,o,d
p,b,s,c,f,y,a,c,b,k,u
p,f,g,y,t,y,a,c,b,r,g
p,s,y,u,f,y,f,d,n,b,l
e,x,y,b,t,f,n,w,n,k,l
p,c,s,e,t,p,a,w,n,e,p
p,b,f,p,t,s,n,w,n,n,p
p,x,g,c,t,f,f,d,b,y,d
e,x,y,c,t,n,f,d,n,b,p
p,b,y,r,f,f,f,w,b,o,g
p,k,g,c,t,s,d,c,n,r,u
p,s,g,p,f,y,d,c,n,n,l
e,k,s,b,t,n,a,d,b,y,u
e,f,g,e,f,l,f,w,b,g,p
e,x,s,w,f,p,d,d,b,k,l
e,c,g,u,f,n,f,d,b,b,p
p,c,g,c,f,f,d,w,n,k,w
e,x,y,y,f,n,f,d,n,b,g
e,k,s,g,t,l,d,c,n,n,l
e,s,g,y,f,n,n,c,n,h,p
e,x,g,b,t,a,a,w,b,g,p
e,f,y,w,f,a,a,d,n,b,d
p,x,f,r,t,y,n,c,b,e,w
p,b,y,b,t,f,a,w,n,g,p
e,k,s,y,t,n,f,w,n,w,d
e,b,f,p,f,n,a,w,b,o,g
e,b,g,u,t,n,a,d,n,e,u
e,x,s,b,f,a,d,w,n,u,u
p,s,f,n,t,s,d,d,b,p,u
p,x,s,u,f,f,n,w,b,y,g
p,s,y,n,t,p,d,d,b,y,w
p,c,f,c,f,f,n,c,n,r,u
e,s,f,g,t,a,a,d,b,u,u
p,b,f,b,t,c,d,c,b,p,g
p,x,g,u,t,c,d,c,n,y,d
p,c,y,r,f,y,a,w,b,h,l
e,b,f,n,t,a,d,c,n,w,p
p,c,s,e,t,s,f,d,b,n,p
p,k,g,y,t,f,d,c,n,u,g
p,f,y,u,t,p,f,d,b,r,u
e,b,y,g,f,l,n,d,b,e,w
p,x,y,b,f,y,d,d,b,p,m
p,s,y,u,f,p,d,w,b,p,u
p,k,g,b,t,s,f,d,n,h,m
p,c,y,p,f,f,a,w,b,e,p
p,f,s,n,t,y,n,c,n,g,w
e,s,s,u,t,n,n,c,n,k,g
p,b,s,u,t,f,f,w,n,u,w
e,f,f,g,f,n,a,c,b,o,u
p,k,y,g,t,y,d,c,b,k,g
e,f,s,y,f,n,a,c,b,w,u
e,b,y,r,t,a,a,c,b,e,u
p,k,g,b,f,y,f,d,n,e,w
p,c,s,w,f,f,a,c,n,b,u
p,b,f,y,f,y,a,d,n,u,m
p,f,f,g,t,f,f,c,b,w,g
p,b,g,w,f,y,a,w,n,w,p
e,k,s,c,f,n,a,w,n,y,l
e,f,g,w,t,a,n,d,n,k,m
e,c,f,n,f,n,f,w,n,r,p
e,s,f,u,f,n,f,d,n,g,g
p,x,y,g,f,s,f,c,b,h,l
p,c,g,u,t,p,a,w,n,k,l
p,b,f,y,f,p,n,d,n,o,g
e,x,s,p,f,l,n,d,n,k,m
e,s,s,g,f,n,d,c,n,k,w
p,s,f,g,t,n,f,c,n,n,w
p,k,g,e,f,m,n,w,b,u,d
e,s,g,u,f,n,n,d,n,k,u
p,f,s,g,t,c,n,c,b,p,u
p,f,f,p,f,s,f,w,b,k,u
e,k,s,p,f,y,a,d,b,w,p
p,s,g,n,f,s,d,c,b,k,g
e,b,f,b,t,a,d,w,b,u,m
p,c,s,g,f,f,a,w,n,p,w
e,x,f,p,t,n,f,c,n,k,g
e,k,y,p,f,n,n,c,b,o,w
p,s,s,n,f,y,a,d,b,p,l
e,b,s,e,t,p,d,d,b,n,p
p,b,y,b,f,f,f,c,b,h,m
e,x,g,r,f,l,n,w,n,n,l
e,k,s,g,t,n,d,c,n,r,u
e,c,s,r,t,n,d,d,b,g,w
e,c,g,r,t,a,d,d,n,w,u
p,k,f,y,f,f,n,c,b,w,u
e,f,y,e,t,p,d,d,n,g,g
p,s,g,y,f,f,f,w,b,y,l
p,c,f,u,t,f,f,d,n,p,m
p,f,y,w,t,f,n,w,n,y,l
e,k,f,n,t,n,f,d,b,k,d
p,s,s,p,f,f,a,w,b,e,m
e,b,y,p,f,n,f,c,n,n,p
e,k,f,b,f,a,d,w,b,k,p
e,b,y,e,t,n,d,c,b,h,m
e,k,f,p,f,n,f,d,n,n,l
e,f,f,y,f,l,f,w,b,e,d
p,s,s,w,t,p,n,w,b,w,m
e,f,g,y,f,n,n,d,n,o,m
e,s,y,r,t,a,a,d,b,y,u
p,k,s,u,t,s,f,w,n,g,m
e,b,y,p,f,l,a,c,n,g,u
e,k,g,r,t,l,f,d,b,k,d
e,b,s,p,f,n,a,w,b,n,w
p,f,g,g,t,f,f,d,b,g,u
e,x,s,c,f,n,f,d,n,o,m
e,c,s,n,f,f,f,c,b,k,w
e,f,s,n,f,n,a,c,n,o,g
p,k,s,p,t,p,d,c,b,w,l
p,k,f,w,f,s,n,w,n,y,m
p,b,y,e,t,p,n,d,b,n,p
e,c,f,b,f,n,a,c,n,n,m
e,s,f,w,f,n,f,w,b,u,d
e,f,f,e,t,n,d,c,b,p,m
e,c,s,w,f,n,a,c,n,e,p
e,c,s,g,f,n,a,d,n,h,u
e,f,g,w,t,l,n,w,n,g,u
p,b,y,b,f,c,n,d,n,u,g
p,s,g,n,f,p,d,c,n,h,m
e,b,g,w,t,a,f,d,n,e,m
p,b,y,y,f,p,d,w,b,y,l
e,x,y,e,f,n,n,c,n,p,w
e,c,g,u,t,n,f,c,b,g,u
p,x,g,e,t,y,d,c,n,k,m
e,b,g,n,f,l,a,c,n,o,d
e,s,s,w,t,p,a,w,n,e,l
e,f,y,y,f,n,a,d,n,w,g
p,c,y,w,t,y,f,w,n,w,d
p,f,f,w,f,y,f,c,b,b,l
e,k,s,p,t,n,n,w,b,o,u
p,c,s,g,f,p,d,c,n,p,u
p,f,y,b,f,s,f,c,b,h,g
p,b,s,g,f,s,f,d,b,w,w
p,x,g,u,t,p,d,c,n,r,m
e,f,y,n,t,n,n,w,n,e,l
e,s,y,w,f,p,f,w,n,o,m
e,k,s,c,t,l,d,d,b,p,m
p,b,y,g,t,y,f,d,n,b,m
p,k,s,r,t,y,f,c,b,o,p
p,s,s,c,t,c,n,c,b,g,g
p,s,s,g,t,y,a,c,n,o,m
p,x,g,r,t,p,f,c,b,r,g
p,k,s,n,f,y,n,w,b,g,w
p,s,s,w,f,c,d,c,n,b,m
p,f,f,y,t,p,d,d,n,e,l
e,s,f,y,t,a,a,w,n,n,l
e,s,g,g,t,f,d,w,b,b,d
e,f,g,w,f,y,a,c,n,n,d
p,b,s,g,f,c,f,c,n,b,g
e,x,f,n,t,n,a,w,b,n,m
p,x,g,r,f,y,f,d,b,k,g
e,c,y,w,f,n,d,c,n,u,g
e,c,y,c,f,n,a,w,b,e,p
p,f,s,r,f,m,n,w,n,g,m
e,s,f,c,f,f,d,c,b,u,p
e,k,y,c,f,n,d,d,b,p,m
e,s,f,n,t,n,d,w,b,o,d
e,s,g,b,f,n,d,w,n,y,u
p,k,f,b,t,y,d,w,b,r,u
e,b,s,w,t,n,n,c,b,w,p
p,x,f,u,f,p,n,w,b,h,u
e,f,y,e,f,a,n,w,n,e,p
p,k,f,b,t,c,a,c,b,e,u
e,c,f,w,f,n,d,d,n,o,p
p,f,f,c,t,y,a,w,n,o,u
p,b,g,y,t,c,a,c,n,k,d
e,f,s,b,f,n,a,d,n,u,g
p,k,y,n,f,f,d,c,n,h,d
p,b,y,w,f,f,d,d,b,o,g
e,s,f,e,t,l,a,c,b,u,g
e,c,f,g,t,l,d,d,n,n,m
p,c,g,u,f,c,a,d,n,p,l
p,k,s,c,f,f,d,c,b,w,p
e,b,y,c,f,l,d,w,b,h,l
e,c,s,g,f,a,a,d,n,h,g
p,b,y,b,t,f,n,c,n,b,p
p,f,f,y,f,n,d,w,n,e,p
p,x,g,g,t,p,a,w,n,h,m
e,x,g,y,f,y,a,c,b,u,l
p,x,f,c,t,c,d,c,n,k,w
e,c,f,e,t,n,d,d,n,u,d
e,k,f,b,t,a,a,c,n,w,l
p,x,s,w,f,y,a,w,b,e,u
p,s,f,c,f,s,a,c,n,u,p
e,k,s,g,f,a,f,w,n,k,g
e,x,f,y,t,l,d,w,b,u,u
p,f,g,y,f,f,f,c,n,r,w
p,x,s,c,f,s,a,w,n,p,d
p,k,g,c,f,y,f,w,b,p,d
p,c,f,e,t,f,n,d,n,p,u
e,s,f,e,f,l,a,w,n,w,p
p,f,y,p,t,f,n,d,b,p,u
p,k,s,g,t,f,f,d,n,y,p
p,b,s,n,f,f,n,d,n,k,p
p,x,s,g,f,y,f,d,n,k,u
p,f,s,e,t,y,d,w,n,o,g
e,c,g,p,f,l,d,w,b,w,w
e,b,s,b,t,a,f,c,n,y,u
p,x,g,c,t,y,a,d,b,y,l
e,f,f,u,t,n,d,w,n,u,p
e,s,g,g,f,n,f,d,n,w,g
p,k,s,g,t,s,a,d,n,e,d
p,x,g,r,t,y,d,c,n,p,w
e,f,s,e,f,n,f,d,n,w,m
p,x,g,u,t,f,a,w,b,g,d
p,s,y,w,t,y,a,w,n,p,m
p,f,s,r,f,s,f,w,n,u,u
p,k,g,n,t,f,n,w,b,o,d
e,x,s,g,f,n,n,d,b,w,m
e,f,f,p,f,n,n,w,n,e,d
e,b,g,p,t,p,n,c,b,w,l
e,c,g,w,f,l,a,d,n,b,u
p,s,y,y,t,f,n,w,n,u,d
p,f,s,r,f,f,f,w,n,g,u
p,f,g,r,t,c,a,c,b,w,w
p,f,y,p,f,f,n,d,n,p,g
p,x,y,p,t,n,f,c,b,w,p
e,s,y,c,t,n,d,c,b,k,d
e,c,s,p,f,n,a,w,b,k,u
p,s,s,e,t,s,f,w,n,b,u
e,x,g,p,t,a,n,c,n,n,u
e,f,s,r,f,s,f,d,n,g,g
p,s,s,c,f,c,a,d,b,w,u
e,f,f,n,f,n,d,d,b,u,w
p,c,s,r,t,s,n,c,n,u,d
e,b,f,p,t,l,f,d,b,p,p
e,x,g,p,t,a,d,w,b,g,p
e,b,y,p,f,n,a,c,b,b,u
p,s,f,c,t,f,n,c,b,r,g
e,f,g,g,t,n,d,c,b,p,m
p,f,f,c,t,c,a,d,n,r,d
p,k,s,b,f,y,n,d,n,o,d
p,k,g,e,f,y,f,w,n,y,d
e,b,y,u,t,l,d,d,n,y,u
e,k,f,e,f,n,a,d,n,o,d
p,s,s,p,f,p,f,d,b,o,w
p,c,g,u,t,c,n,d,b,u,u
p,s,s,n,f,y,d,w,n,u,l
e,b,g,y,f,n,a,w,n,k,d
p,s,f,r,f,p,d,w,n,b,w
e,k,g,g,t,l,f,d,n,g,g
e,k,f,y,f,a,f,d,b,w,p
e,c,g,c,f,n,a,c,n,h,g
e,s,s,b,t,n,d,c,b,y,g
e,c,s,w,t,l,d,d,n,k,u
e,b,f,e,t,n,f,c,b,k,l
p,x,y,y,t,s,d,w,n,h,u
e,s,f,b,t,a,d,w,b,g,g
p,s,s,p,f,p,d,w,n,h,u
e,c,g,c,t,y,a,c,b,n,d
e,k,y,c,f,n,f,w,n,g,w
e,b,s,r,t,n,n,w,n,e,d
e,x,y,u,f,a,a,w,b,b,g
p,s,f,u,t,f,f,d,b,o,d
e,b,s,y,f,a,a,d,n,h,p
e,k,f,n,t,s,n,w,n,n,u
e,x,s,u,f,f,a,w,b,w,d
p,x,s,u,f,p,a,d,b,p,u
p,c,f,p,t,c,n,d,b,e,p
e,f,s,p,f,n,d,c,n,n,u
e,k,y,b,f,n,f,d,b,w,g
e,f,y,c,t,n,n,w,n,o,m
p,k,f,c,f,y,a,d,b,p,u
e,b,g,c,f,n,d,w,b,e,p
p,f,y,b,t,c,a,c,n,b,p
e,s,s,w,f,l,d,d,n,r,m
p,s,f,p,t,s,a,c,b,y,g
p,s,g,b,f,f,f,w,n,h,l
p,x,f,c,f,y,f,w,n,y,g
e,c,y,y,f,y,a,w,n,n,w
p,k,s,p,f,p,n,w,b,p,u
p,c,y,g,t,p,a,c,n,n,p
e,k,f,u,t,y,a,d,n,u,p
p,s,s,p,f,p,n,d,b,u,g
e,x,g,p,f,a,n,w,b,w,g
p,x,y,c,t,y,a,w,n,p,u
p,x,f,e,t,y,d,c,b,e,g
e,x,s,w,t,a,f,c,n,b,d
p,x,f,p,f,y,d,w,n,p,m
e,s,g,b,f,a,n,w,b,g,m
e,c,g,n,f,n,f,d,b,e,l
e,b,y,c,t,n,a,d,n,g,p
p,f,g,c,f,p,f,d,n,n,u
e,c,g,e,t,n,a,w,b,y,u
e,s,y,r,t,f,a,c,b,b,g
p,f,f,n,f,y,n,c,b,p,p
e,b,y,g,t,a,d,c,n,k,l
e,k,y,u,f,n,n,w,b,h,l
e,b,s,r,t,n,n,w,n,r,l
e,b,g,y,f,n,f,c,n,u,w
e,s,g,p,f,y,d,c,b,p,d
e,k,f,y,t,n,d,c,b,e,p
p,f,g,g,t,c,d,w,n,g,w
p,x,f,b,f,f,d,d,b,o,l
e,k,s,w,f,n,f,d,n,p,w
e,k,f,b,t,l,f,w,b,y,w
e,b,f,b,f,a,n,d,n,u,m
p,k,s,b,f,p,n,c,n,b,g
e,c,y,n,t,n,d,d,n,w,l
e,x,s,c,t,n,n,c,n,p,m
p,b,g,p,t,p,f,w,b,b,d
e,f,g,u,f,f,n,w,n,k,m
e,f,s,n,f,n,a,c,n,h,u
p,f,f,r,t,m,n,c,b,o,w
p,f,s,r,t,y,f,d,n,u,g
e,f,g,n,t,a,d,c,b,e,d
p,b,s,g,f,f,a,w,n,o,u
e,c,f,y,f,n,a,w,b,e,d
p,c,g,n,f,f,a,d,b,w,p
e,f,y,n,t,n,n,c,n,g,m
p,c,s,u,t,n,n,c,n,k,w
p,x,s,u,f,s,a,d,b,k,d
p,c,s,c,t,s,a,w,b,y,u
p,k,s,u,t,f,d,c,n,u,g
e,f,g,c,t,y,d,d,n,h,m
e,k,f,b,f,n,a,d,n,b,l
e,k,y,y,t,f,d,d,n,w,g
p,f,s,g,t,f,f,d,b,g,l
p,s,g,y,t,y,n,c,b,o,p
e,b,s,c,t,s,d,d,b,o,l
p,s,y,u,f,y,f,c,b,g,l
p,c,s,n,f,c,n,w,n,p,p
p,s,f,p,f,y,d,d,b,g,p
p,x,s,b,f,p,n,d,n,e,l
e,s,s,e,t,f,f,w,n,h,d
e,s,s,r,f,a,f,d,n,r,m
e,b,f,c,t,l,n,c,n,b,m
e,x,g,y,t,n,a,w,n,h,w
p,s,f,u,t,f,d,w,b,p,u
p,f,g,b,t,f,a,c,b,e,u
p,c,f,r,f,p,f,c,b,e,p
p,s,f,e,f,c,n,w,n,b,d
e,b,s,n,t,n,d,d,b,w,g
e,f,f,n,f,a,d,c,n,e,d
e,b,g,c,f,l,a,c,b,b,l
